Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
DLG_Setting,202,Setting,설정 ,Réglage,Rahmen,Ajuste,Ambientazione,Indstilling,設定,設置,设置,Ustawienia,
DLG_Position,203,Position,위치,Position,Position,Posición,Posizione,Position,位置,位置,位置,Pozycja,
DLG_CaptureSize,204,Capture Size,캡쳐 영역,Taille de capture,Größe erfassen,Tamaño de captura,Cattura dimensioni,Capture størrelse,キャプチャサイズ,捕捉大小,捕捉大小,Rozmiar ekranu,
DLG_Width,205,Width,가로,Largeur,Breite,Anchura,Larghezza,Bredde,横,寬度,宽度,Szerokość,
DLG_Height,206,Height,세로,Hauteur,Höhe,Altura,Altezza,Højde,縦,高度,高度,Wysokość,
DLG_ImageSize,207,Image Size,이미지 크기,Taille de image,Bildgröße,Tamaño de imagen,Dimensione dell'immagine,Billedestørrelse,画像サイズ,圖片大小,图片大小,Rozmiar obrazu,
DLG_BGColor,208,BG Color,배경색,Couleur BG,BG Farbe,BG Color,Colore BG,BG farve,背景色,BG顏色,BG颜色,Kolor BG,
DLG_FixedAspectRatio,209,Fixed Aspect Ratio,화면비 고정,Rapport d'aspect fixe,Festes Seitenverhältnis,Relación de aspecto fijo,Proporzioni fisse,Fastformet forhold,固定アスペクト比,固定長寬比,固定长宽比,Stały stosunek,
DLG_NotFixedAspectRatio,210,Not Fixed Aspect Ratio,화면비 고정안함,Rapport d'aspect non fixe,Variables Seitenverhältnis,Relación de aspecto no fijo,Proporzioni non fisse,Ikke fastformet forhold,アスペクト比を固定しない,不固定長寬比,不固定长宽比,Nie stały stosunek,
DLG_ThumbnailCapture,211,Thumbnail Capture,썸네일 캡쳐,Capture de vignettes,Miniaturbildaufnahme,Captura de miniaturas,Cattura di miniature,Thumbnail Capture,サムネイルキャプチャ,縮略圖捕獲,缩略图捕获,Przechwytywanie miniatur,
DLG_FilePath,212,File Path,파일 경로,Chemin,Dateipfad,Ruta,Percorso del file,Filsti,ファイルパス,文件路徑,文件路径,Ścieżka pliku,
DLG_Change,213,Change,변경,Change,Change,Cambio,Cambiare,Lave om,変更,更改,更改,Zmiana,
DLG_MakeThumbnail,214,Make Thumbnail,썸네일 생성,Faire une miniature,Mache Vorschaubild,Hacer miniatura,Crea miniatura,Lav miniatur,サムネイルを作成,縮略圖,缩略图,Utwórz miniaturę,
DLG_ScreenshotCapture,215,Screenshot Capture,화면 캡쳐,Capture d'écran,Screenshot erfassen,Captura de pantalla,Cattura screenshot,Screenshot Capture,スクリーンショットキャプチャ,截圖捕捉,截图捕捉,Zrzut ekranu,
DLG_TakeAScreenshot,216,Take a Screenshot,화면 캡쳐하고 저장,Prendre capture d'écran,Mach Bildschirmfoto,Captura la pantalla,Fai uno screenshot,Tag et skærmbillede,スクリーンショットを撮,截圖,截图,Zrób zrzut ekranu,
DLG_GIFAnimation,217,GIF Animation,GIF 애니메이션,GIF Animation,GIF-Animation,Animación GIF,Animazione GIF,GIF Animation,GIFアニメーション,GIF動畫,GIF动画,Animacja GIF,
DLG_NotAnimation,218,< Animation is not selected >,< 애니메이션이 선택되지 않음 >,<Animation n'est pas sélectionnée>,<Animation ist nicht ausgewählt>,<La animación no está seleccionada>,<L'animazione non è selezionata>,<Animation er ikke valgt>,<アニメーションが選択されていません>,<未選擇動畫>,<未选择动画>,< Animacja nie jest wybrana >,
DLG_QualityHigh,219,Quality [ High ],품질 [ 좋음 ],Qualité [ Haute ],Qualität [ Hoch ],Calidad [ Alto ],Qualità [Alta],Kvalitet [Høj],品質 [ 高 ],質量 [ 高 ],质量 [ 高 ],Jakość [ Wysoki ],
DLG_QualityMedium,220,Quality [ Medium ],품질 [ 보통 ],Qualité [ Moyenne ],Qualität [ Mittel ],Calidad [ Promedio ],Qualità [Medio],Kvalitet [Mellem],品質 [ 中 ],質量 [ 中 ],质量 [ 中 ],Jakość [ Średni ],
DLG_QualityLow,221,Quality [ Low ],품질 [ 낮음 ],Qualité [ Faible ],Qualität [ Niedrig ],Calidad [ Bajo ],Qualità [Basso],Kvalitet [Lav],品質 [ 低 ],質量 [ 低 ],质量 [ 低 ],Jakość [ Niska ],
DLG_LoopCount,222,Loop Count,반복 횟수,Nombre de boucles,Schleifenzählung,Bucles,Conteggio dei cicli,Antal løkker,ループカウント,循環計數,循环计数,Liczba pętli,
DLG_TakeAGIFAnimation,223,Take a GIF Animation,GIF 애니메이션 저장,Prenez une animation GIF,Nimm GIF-Animation,Toma animación GIF,Fai un GIF Animation,Tag en GIF-animation,GIFアニメーションを撮,以GIF動畫,以GIF动画,Zrób animację GIF,
DLG_AnimationClips,224,Animation Clips,애니메이션 클립,Clips d'animation,Animationsclips,Clips de animación,Clip di animazione,Animationsklip,アニメーションクリップ,動畫剪輯,动画剪辑,Klipy animacji,
DLG_SelectedControlParamSetting,225,Selected Controller Parameter Setting,선택된 컨트롤 파라미터 설정,Paramètre du contrôleur sélectionné,Einstellung Reglerparameter gewählt,Parámetro del controlador seleccionado,Impostazione dei parametri del controller selezionata,Valg af regulatorparameterindstilling,選択されたコントローラパラメータ設定,所選控制器參數設置,所选控制器参数设置,Wybrane ustawienie parametrów,
DLG_Default,226,Default,기본값,Défaut,Default,Defecto,Default,Standard,デフォルト,默認,默认,Default,
DLG_RegistToPreset,227,Regist to Preset,프리셋으로 등록,Regist à prérégler,Registriere,Regist,Registra su Preset,Registrér,プリセットとして登録,註冊預設,注册预设,Zarejestrować,
DLG_Presets,228,Presets,프리셋,Presets,Voreinstellungen,Presets,Presets,Presets,プリセット,預置,预置,Presets,
DLG_Category,229,Category,분류,Catégorie,Kategorie,Categoría,Categoria,Kategori,カテゴリー,類別,类别,Kategoria,
DLG_ValueType,230,Value Type,타입,Type de valeur,Werttyp,Tipo de valor,Tipo di valore,Værdi Type,値の種類,值類型,值类型,Typ wartości,
DLG_Min,231,Min,최소,Min,Min,Min,Min,Min,最小,最低,最低,Min,
DLG_Max,232,Max,최대,Max,Max,Max,Max,Max,最大,最大,最大,Max,
DLG_Axis1,233,Axis 1,X 축,Axe 1,Achse 1,Eje 1,Asse 1,Akse 1,軸1,軸1,轴1,Oś 1,
DLG_Axis2,234,Axis 2,Y 축,Axe 2,Achse 2,Eje 2,Asse 2,Akse 2,軸2,軸2,轴2,Oś 2,
DLG_ValueRange,235,Value Range,값 범위,Plage de valeurs,Wertebereich,Rango de valores,Intervallo,Værdiinterval,値の範囲,值範圍,值范围,Zakres wartości,
DLG_Label,236,Label,값 범위 이름,Étiquette,Etikett,Etiqueta,Etichetta,Etiket,ラベル,標籤,标签,Etykieta,
DLG_SnapSize,237,Snap Size,스냅 개수,Nombre de point,Anzahl der Punkte,Ajustar tamaño,Dimensione snap,Snap Size,スナップサイズ,捕捉大小,捕捉大小,Rozmiar Snap,
DLG_RemovePreset,238,Remove Preset,프리셋 제거,Supprimer,Entfernen,Eliminar preest,Rimuovi preset,Fjern forudindstillet,プリセットを削除,刪除預設,删除预设,Usuń Preset,
DLG_Apply,239,Apply,적용,Appliquer,Bewerben,Aplicar,Applicare,Ansøge,適用,應用,应用,Zastosować,
DLG_SetSuctomFFDGridSize,240,Set Custom FFD Grid Size,FFD 크기 설정,Taille de grille FFD,Benutzerdefinierte FFD-Größe,Tamaño de rejilla FFD,Dimensione della griglia FFD,Indstil Custom FFD Grid Size,カスタムFFDグリッドサイズを設定する,設置自定義FFD網格大小,设置自定义FFD网格大小,Niestandardowy rozmiar FFD,
DLG_StartEdit,241,Start Edit,편집 시작,Commencer,Starten,Comenzar,Inizia Modifica,Start Rediger,編集を開始,開始編輯,开始编辑,Rozpocznij,
DLG_NewPortraitName,242,New Portrait Name,새 포트레이트 이름,Nouveau nom de portrait,Neuer Porträtname,Nuevo nombre de retrato,Nuovo nome ritratto,Nyt portrætnavn,新しいポートレートの名前,新的肖像名稱,新的肖像名称,Nowa nazwa portretu,
DLG_MakePortrait,243,Make Portrait,포트레이트 생성,Faire un portrait,Mache Porträt,Hacer un retrato,Crea ritratto,Lav portræt,ポートレートを作,做肖像,做肖像,Zrób portret,
DLG_SelectedPhysicsSetting,244,Selected Physics Setting,선택된 물리 설정,Paramètre de physique,Ausgewählte Physikeinstellung,Config de física seleccionada,Impostazione fisica selezionata,Udvalgte fysikindstillinger,選択された物理設定,選定的物理設置,选定的物理设置,Wybrane ustawienie fizyki,
DLG_Name,245,Name,이름,prénom,Name,Nombre,Nome,Navn,名,名,名,Nazwa,
DLG_Icon,246,Icon,아이콘,Icône,Symbol,Icono,Icona,Ikon,アイコン,圖標,图标,Ikona,
DLG_Editor,247,Editor,에디터,Éditeur,Editor,Editor,Editore,Editor,エディタ,編輯,编辑,Redaktor,
DLG_About,248,About,정보,Info,Über,Información,Informazioni,Om,情報,關於,关于,Informacja,
DLG_PortraitSetting,249,Portrait Settings,포트레이트 설정,Paramètres du portrait,Hochformateinstellungen,Config de retrato,Impostazioni ritratto,Portrætindstillinger,ポートレートの設定,肖像配置,肖像配置,Ustawienia portretu,
DLG_Setting_FPS,250,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,
DLG_Setting_IsImportant,251,Is Important,Important 설정,Est important,Ist Important,Es Important,È Important,Er Important,Important設定,是Important,是Important,Jest Important,
DLG_Setting_ManualBackUp,252,Save Backup (Manual),수동 백업 저장,Sauvegarder (manuelle),Backup sichern (manuell),Respaldo (manual),Salva backup (manuale),Gem backup (manuel),バックアップの保存(手動),保存備份(手動),保存备份(手动),Zapisz Backup (ręczna),
DLG_EditorSetting,253,Editor Settings,에디터 설정,Paramètres de l'éditeur,Editoreinstellungen,Config del editor,Impostazioni dell'editore,Rediger indstillinger,エディタの設定,編輯器設置,编辑器设置,Ustawienia edytora,
DLG_Setting_Language,254,Language,언어,La langue,Sprache,La lengua,Linguaggio,Sprog,言語,語言,语言,Język,
DLG_Setting_ShowFPS,255,Show FPS,FPS 출력,Afficher FPS,Zeige FPS,Mostrar FPS,Mostra FPS,Vis FPS,FPSを表示する,顯示FPS,显示FPS,Pokaż FPS,
DLG_Setting_ShowStatistics,256,Show Statistics,통계 출력,Afficher statistiques,Zeige Statistiken,Mostrar estadísticas,Mostra statistiche,Vis statistik,統計を表示する,顯示統計,显示统计,Pokaż statystyki,
DLG_Setting_AutoBackupSetting,257,Auto Backup Setting,자동 백업 설정,Paramètre de Auto-sauvegarde,Auto-Sicherungseinstellung,Config de auto-respaldo,Impostazioni di auto-backup,Auto-backup Indstilling,自動バックアップの設定,自動備份設置,自动备份设置,ustawienie Auto-Backup,
DLG_Setting_AutoBackup,258,Auto Backup,자동 백업,Auto-Sauvegarde,Auto-Sicherung,Auto-respaldo,Auto Backup,Auto-backup,自動バックアップ,自動備份,自动备份,Auto-Backup,
DLG_Setting_BackupTime,259,Time (Min),시간 (분),Temps (Min),Zeit (Min),Tiempo (Min),Tempo (Minimo),Tid (Min),時間(分),時間(分鐘),时间(分钟),Czas (min),
DLG_Setting_BackupPath,260,Save Path,저장 경로,Chemin,Pfad speichern,Guardar ruta,Salva percorso,Gem sti,保存パス,保存路徑,保存路径,Ścieżka,
DLG_Setting_PoseSnapshotSetting,261,Pose Snapshot Setting,포즈 저장 설정,Paramètre de pose,Pose Schnappschuss,Config de instantánea de pose,Pose Snapshot Setting,Stil stillbillede,ポーズスナップショットの設定,姿態快照設置,姿态快照设置,Ustawienia migawki dla pozy,
DLG_Setting_BackgroundColors,262,Background Colors,배경 색상,Couleurs de fond,Hintergrundfarben,Colores de fondo,Colori di sfondo,Baggrundsfarver,背景色,背景顏色,背景颜色,Kolory tła,
DLG_Setting_Background,263,Background,배경,Fond,Hintergrund,Fondo,Sfondo,Baggrund,背景,背景,背景,Tło,
DLG_Setting_GridCenter,264,Grid Center,그리드 중심,Centre de grille,Grid-Zentrum,Cuadrícula central,Centro griglia,Gittercenter,グリッドセンター,網格中心,网格中心,Centrum krata,
DLG_Setting_Grid,265,Grid,그리드,Grille,Gitter,Cuadrícula,Griglia,Grid,グリッド,格,格,Krata,
DLG_Setting_AtlasBorder,266,Atlas Border,아틀라스 경계,Frontière de atlas,Atlas Grenze,Borde del Atlas,Confine dell'Atlante,Atlas Border,アトラスボーダー,阿特拉斯邊界,阿特拉斯边界,Granica atlasu,
DLG_Setting_MeshGUIColors,267,Mesh GUI Colors,메시 GUI 색상,Couleurs de maillage,Farben Netzes,Malla GUI colores,Colori maglie,Mesh GUI Farver,メッシュGUIの色,網格劃分GUI顏色,网格划分GUI颜色,Kolory GUI siatki,
DLG_Setting_MeshEdge,268,Mesh Edge,메시 선,Bord du maillage,Kanten Netzes,Borde de malla,Bordo della maglia,Mesh Edge,メッシュエッジ,網格劃分邊緣,网格划分边缘,Linia siatki,
DLG_Setting_MeshHiddenEdge,269,Mesh Hidden Edge,메시 숨은 선,Bord caché,Versteckte Kante,Borde oculto,Bordo nascosto,Mesh Hidden Edge,メッシュ隠しエッジ,網格劃分隱藏的邊緣,网格划分隐藏的边缘,Ukryta linia siatki,
DLG_Setting_Outline,270,Outline,외곽선,Contour,Kontur,Contorno,Contorno,Omrids,アウトライン,大綱,大纲,Zarys,
DLG_Setting_TransformBorder,271,Transform Border,트랜스폼 경계,Frontière,Grenze,Borde de Transformar,Trasforma il bordo,Transform Border,トランスフォームボーダー,轉換邊界,转换边界,Przekształć granicę,
DLG_Setting_Vertex,272,Vertex,버텍스,Sommet,Scheitel,Vértice,Vertice,Vertex,頂点,頂點,顶点,Punkt,
DLG_Setting_SelectedVertex,273,Selected Vertex,선택된 버텍스,Sommet sélectionné,Ausgewählter Scheitel,Vertex seleccionado,Vertice selezionato,Udvalgt vertex,選択頂点,選定的頂點,选定的顶点,Wybrany punkt,
DLG_Setting_GizmoColors,274,Gizmo Colors,기즈모 색상,Gizmo Couleurs,Gizmo Farben,Gizmo Colors,Colori Gizmo,Gizmo Farver,ギズモ色,Gizmo顏色,Gizmo颜色,Kolory Gizmo,
DLG_Setting_FFDLine,275,FFD Line,FFD 선 색,Ligne FFD,FFD-Leitung,Línea FFD,Linea FFD,FFD Line,FFD線の色,FFD線,FFD线,Linia FFD,
DLG_Setting_FFDInnerLine,276,FFD Inner Line,FFD 안쪽 선 색,Ligne intérieure FFD,FFD innere Linie,Línea interna FFD,FFD Inner Line,FFD Inner Line,FFDの内側線の色,FFD內線,FFD内线,Wewnętrzna FFD,
DLG_Setting_OnionSkinColor,277,Onion Skin Color,오니온 스킨 색,Couleur de Onion Skin,Zwiebel-Hautfarbe,Color de piel de cebolla,Colore della pelle di cipolla,Løg hudfarve,オニオンスキンカラー,洋蔥皮膚的顏色,洋葱皮肤的颜色,Kolor skóry cebuli,
DLG_Setting_OnionSkinColor2X,278,Onion Skin (2X),오니온 스킨 (2X),Peau d'oignon (2X),Zwiebelhaut (2X),Piel de cebolla (2X),Pelle di cipolla (2X),Løg Skin (2X),オニオンスキン(2X),洋蔥皮(2X),洋葱皮(2X),Skórka cebuli (2X),
DLG_Setting_RestoreDefaultSetting,279,Restore Editor Default Setting,에디터 기본 설정으로 복구,Restaurer par défaut,Standardeinstellungen,Restaurar predeterminada,Ripristina le impostazioni predefinite,Gendan Standardindstilling,エディタのデフォルト設定に復元,恢復編輯器默認設置,恢复编辑器默认设置,Przywróć ustawienia domyślne,
DLG_ExportBoneStructure,280,Export Bone Structure,본 구조 내보내기,Exporter structure osseuse,Knochenstruktur exportieren,Exportar estructura ósea,Esporta struttura ossea,Eksportér knoglestruktur,骨構造のエクスポート,導出骨骼結構,导出骨骼结构,Eksportuj strukturę kości,
DLG_NoBonesToExport,281,No Bones to Export,본이 없음,Pas d'os à exporter,Keine Knochen,Sin huesos para exportar,Nessun osso da esportare,Ingen knogler,エクスポートできるの骨がない,沒有骨頭出口,没有骨头出口,Brak kości do eksportu,
DLG_1BoneToExport,282,1 Bone to Export,1개의 본을 내보낼 수 있음,1 os à exporter,1 Knochen,1 hueso para exportar,1 osso da esportare,1 knogle,エクスポートできる1つの骨,1骨頭出口,1骨头出口,1 Kość do eksportu,
DLG_NBonesToExport,283,{0} Bones to Export,{0}개의 본을 내보낼 수 있음,{0} os à exporter,{0} Knochen,{0} huesos para exportar,{0} ossa da esportare,{0} knogler,エクスポートできる{0}個の骨,{0}要導出的骨骼,{0}要导出的骨骼,{0} Kości do eksportu,
DLG_Export,284,Export,내보내기,Exporter,Export,Exportar,Esportare,Eksport,エクスポート,導出,导出,Eksport,
DLG_ImportBoneStructure,285,Import Bone Structure,본 구조 가져오기,Importer structure osseuse,Knochenstruktur importieren,Importar estructura ósea,Importa struttura ossea,Importer knogle struktur,骨構造のインポート,導入骨骼結構,导入骨骼结构,Importuj strukturę kości,
DLG_NoFileIsImported,286,No File is Imported,열린 파일 없음,Aucun fichier importé,Keine Datei wird importiert,Archivo no es importado,Nessun file è importato,Ingen fil er importeret,ファイルがインポートされない,沒有文件被導入,没有文件被导入,Nie zaimportowane,
DLG_LoadFile,287,Load File,열기,Ouvrez,Lade Datei,Cargando,Apri,Indlæs fil,ファイルをロード,加載文件,加载文件,Załaduj plik,
DLG_Import,288,Import,가져오기,Importer,Import,Importar,Importare,Import,インポート,進口,进口,Import,
DLG_NoImport,289,No Import,선택안함,Importer OFF,Import OFF,Importar OFF,Importa OFF,import OFF,インポートなし,沒有導入,没有导入,Import OFF,
DLG_NoIK,290,No IK,IK 없음,IK OFF,IK OFF,IK OFF,IK OFF,IK OFF,IKなし,沒有IK,没有IK,IK OFF,
DLG_Shape,291,Shape,외형복사,Forme,Gestalten,Forma,Forma,Form,形状,形狀,形状,Kształt,
DLG_NoShape,292,No Shape,기본형태,Forme OFF,Gestalten OFF,Forma OFF,Forma OFF,Ingen form,形状なし,沒有形狀,没有形状,Kształtu OFF,
DLG_EnableAllBones,293,Enable All Bones,모든 본 활성,Tous les os ON,Alle Knochen ON,Todos los huesos ON,Tutte le ossa ON,Alle knogler ON,すべての骨を有効に,啟用所有骨骼,启用所有骨骼,Włącz cały kości,
DLG_DisableAllBones,294,Disable All Bones,모든 본 비활성,Tous les os OFF,Alle Knochen OFF,Todos los huesos OFF,Tutte le ossa OFF,Alle knogler OFF,すべての骨を無効に,禁用所有骨骼,禁用所有骨骼,Wyłącz cały kości,
DLG_EnableAllIK,295,Enable All IK,모든 IK 활성,Tous les IK ON,Alle IK ON,Todo IK ON,Tutto su IK ON,Alle IK ON,すべてのIKを有効に,啟用所有IK,启用所有IK,Włącz cały IK,
DLG_DisableAllIK,296,Disable All IK,모든 IK 비활성,Tous les IK OFF,Alle IK OFF,Todo IK OFF,Tutto IK OFF,Alle IK OFF,すべてのIKを無効に,禁用所有IK,禁用所有IK,Wyłącz cały IK,
DLG_EnableAllShape,297,Enable All Shape,모든 외형 활성,Toutes les formes ON,Alle Formen ON,Toda forma ON,Tutte le forme ON,Alle former ON,すべての形状を有効に,啟用所有形狀,启用所有形状,Włącz cały kształty,
DLG_DisableAllShape,298,Disable All Shape,모든 외형 비활성,Toutes les formes OFF,Alle Formen OFF,Toda forma OFF,Tutte le forme OFF,Alle former OFF,すべての形状を無効に,禁用所有形狀,禁用所有形状,Wyłącz cały kształt,
DLG_ImportScale,299,Import Scale,가져오기 크기 비율,Importer l'échelle,Maßstab importieren,Escala de import,Scala di importazione,Import skala,サイズイズの比率,導入比例,导入比例,Skala importu,
DLG_ImportToMeshGroup,300,Import to [{0}],[{0}] 대상으로 가져오기,Importer vers [{0}],Import nach [ {0} ],Importar a [ {0} ],Importa in [ {0} ],Importer til [ {0} ],[ {0} ]にインポート,導入到[ {0} ],导入到[ {0} ],Importuj do [{0}],
DLG_ExportPose,301,Export Pose,포즈 내보내기,Pose d'exportation,Pose exportieren,Exportar Pose,Esporta Posa,Eksportposition,ポーズをエクスポート,導出姿勢,导出姿势,Eksportuj pozycję,
DLG_PoseName,302,Pose Name,포즈 이름,Nom de pose,Pose Name,Nombre,Nome della posa,Indsæt Navn,ポーズ名,姿勢名稱,姿势名称,Nazwa pozy,
DLG_Description,303,Description,설명,La description,Beschreibung,Descripción,Descrizione,Beskrivelse,説明,描述,描述,Opis,
DLG_SelectAll,304,Select All,모두 선택,Tout sélectionner,Wählen Sie Alle,Seleccionar todo,Seleziona tutto,Vælg alle,すべて選択,全選,全选,Zaznacz cały,
DLG_DeselectAll,305,Deselect All,모두 선택 해제,Tout déselectionner,Alle abwählen,Deseleccionar todo,Deselezionare tutto,Fravælg alle,すべての選択を解除,取消全選,取消全选,Odznacz cały,
DLG_ImportPose,306,Import Pose,포즈 가져오기,Pose d'importation,Pose importieren,Importar pose,Importa Posa,Import Pose,インポートポーズ,導入姿勢,导入姿势,Importuj pozycję,
DLG_Refresh,307,Refresh,갱신,Rafraîchir,Aktualisierung,Refrescar,Ricaricare,Opdater,更新,刷新,刷新,Odświeżać,
DLG_SameGroup,308,Same Mesh Group,같은 메시 그룹,Même groupe de maillage,Gleiche Netzgruppe,Mismo grupo de malla,Stesso gruppo di maglie,Samme maskegruppe,同じメッシュグループ,同一 網格劃分組,同一 网格划分组,Sama grupa siatki,
DLG_SamePortrait,309,Same Portrait,같은 포트레이트,Même portrait,Gleiches Porträt,Mismo retrato,Stesso ritratto,Samme portræt,同じポートレート,同樣的肖像,同样的肖像,Sam portret,
DLG_AllPoses,310,All Poses,모든 포즈,Toutes les poses,Alle Posen,Todas las poses,Tutte le pose,Alle poser,すべてのポーズ,所有的姿勢,所有的姿势,Wszystkie pozy,
DLG_Selected,311,Selected,선택됨,Choisi,Ausgewählt,Seleccionado,Selezionato,Valgte,選択された,選,选,Wybrany,
DLG_NoPoseSelected,312,No Pose Selected,선택됨 포즈 없음,Aucune pose,Keine Wahl getroffen,Sin pose seleccionada,Nessuna posa selezionata,Ingen pose valgt,選択されたポーズがありません,沒有選擇姿勢,没有选择姿势,Nie wybrano pozy,
DLG_NumberBones,313,Number of Bones,본 개수,Nombre d'os,Anzahl der Knochen,Número de huesos,Numero di ossa,Antal knogler,骨の数,骨頭數,骨头数,Liczba kości,
DLG_NoBones,314,No Bones,본 없음,Pas d'os,Keine Knochen,Sin hueso,Nessun osso,Ingen knogler,骨なし,沒有骨頭,没有骨头,Bez kości,
DLG_Warningproperly,315,Warning. Import may not work properly,주의. 적절하게 처리되지 않을 수 있음,Attention. Cela peut ne pas fonctionner,Warnung. Es funktioniert nicht richtig,Advertencia. Tal vez no funciona.,Avvertimento. Forse non funziona.,Advarsel. Det virker måske ikke,警告。インポートが正しく機能しない,警告。導入可能無法正常工作,警告。导入可能无法正常工作,Ostrzeżenie. To może nie działać,
DLG_RemovePose,316,Remove Pose,포즈 제거,Enlever pose,Pose entfernen,Eliminar la pose,Rimuovi Posa,Fjern Pose,ポーズを削除,刪除姿勢,删除姿势,Usuń pozycję,
DLG_PoseFolderNotExist,317,Pose Folder does not exist,포즈 폴더가 존재하지 않음,Pose Folder n'existe pas,Pose Folder existiert nicht,Pose Folder no existe,La cartella Pose non esiste,Pose Folder findes ikke,ポーズフォルダが存在しません,姿勢文件夾不存在,姿势文件夹不存在,Folder poza nie istnieje,
DLG_ExportAnimationClip,318,Export Animation Clip,애니메이션 클립 내보내기,Exporter clip d'animation,Animationsclip exportieren,Exportar clip de animación,Esporta la clip di animazione,Eksporter animationsklip,アニメーションクリップをエクスポート,導出動畫剪輯,导出动画剪辑,Eksportuj klip animacji,
DLG_NoTimelinesToExport,319,No Timeline to Export,타임라인 없음,Pas de Timeline,Keine Zeitleisten,Sin Timeline,Nessuna Timeline,Ingen tidslinjer til eksport,タイムラインなし,沒有時間表導出,没有时间表导出,Brak oś czasu do eksportu,
DLG_1TimelinesToExport,320,1 Timeline to Export,1개의 타임라인,1 Timeline,1 Zeitleiste,1 Timeline,1 Timeline,1 tidslinje til eksport,1つのタイムライン,1時間軸導出,1时间轴导出,1 Oś czasu do eksportu,
DLG_NTimelinesToExport,321,{0} Timelines to Export,{0}개의 타임라인,{0} Timelines,{0} Zeitleisten,{0} Timelines,{0} Timelinee,{0} tidslinjer til eksport,{0}のタイムライン,{0}導出時間軸,{0}导出时间轴,{0} Osie czasu do eksportu,
DLG_ImportAnimationClip,322,Import Animation Clip,타임라인 가져오기,Importer clip d'animation,Animationsclip importieren,Importar clip de animación,Importa clip di animazione,Importer animationsklip,アニメーションクリップの読み込み,導入動畫剪輯,导入动画剪辑,Importuj klip animacji,
DLG_MeshesMeshGroups,323,Meshes / MeshGroups,메시 / 메시 그룹,Maillage/Groupe,Netze/Netzgruppen,Mallas/Grupo,Maglie / Gruppo,Masker/MeshGrupper,メッシュ/メッシュグループ,網格劃分/網格劃分組,网格划分/网格划分组,Siatki/Grupy siatki,
DLG_Bones,324,Bones,본,Des os,Knochen,Huesos,Ossa,Knogler,骨,骨頭,骨头,Kości,
DLG_Timelines,325,Timelines,타임라인,Timelines,Zeitleisten,Timelines,Timelinee,Tidslinjer,タイムライン,時間線,时间线,Osie czasu,
DLG_AnimEvents,326,Events,이벤트,Événements,Veranstaltungen,Eventos,Eventi,Begivenheder,イベント,事件,事件,Wydarzenia,
DLG_LoadedData,327,Loaded Data,로드된 데이터,Données chargées,Geladene Daten,Datos cargados,Dati caricati,Indlæste data,ロードされたデータ,加載的數據,加载的数据,Załadowane dane,
DLG_TargetObjects,328,Target Objects,대상 객체,Objets cibles,Zielobjekte,Objetos de destino,Oggetti bersaglio,Målobjekter,ターゲット,目標對象,目标对象,Obiekty docelowe,
DLG_AutoMapping,329,Auto Mapping,자동 매핑,Auto-Mappage,Auto-Zuordnung,Auto-Mapeo,Auto Mapping,Auto-kortlægning,自動マッピング,自動映射,自动映射,Auto-mapowanie,
DLG_Enable,330,Enable,활성,Activer,Aktivieren,Habilitar,Abilitare,Aktiver,有効に,啟用,启用,Włączyć,
DLG_Disable,331,Disable,비활성,Désactiver,Deaktivieren,Deshabilitar,Disattivare,Deaktiver,無効に,禁用,禁用,Wyłączyć,
DLG_AutoMappingAll,332,Auto Mapping All,모두 자동 매핑,Auto-Mappage tous,Auto-Zuordnung alle,Auto-Mapeo de todos,Auto mappatura tutto,Auto kortlægning alle,自動マッピング,自動映射全部,自动映射全部,Auto-mapowanie cały,
DLG_SaveMapping,333,Save Mapping,매핑 저장,Exporter mappage,Mapping speichern,Guardar mapeo,Salva mappatura,Gem kortlægning,マッピングの保存,保存映射數據,保存映射数据,Zapisz mapowanie,
DLG_LoadMapping,334,Load Mapping,매핑 열기,Importer mappage,Mapping laden,Carga mapeo,Carica mappatura,Indlæs kortlægning,マッピングオープン,負載映射數據,负载映射数据,Załaduj mapowanie,
DLG_EnableAll,335,Enable All,모두 활성,Activer tout,Alle aktivieren,Habilitar todo,Abilita tutto,Aktivér alle,両方を有効に,全部啟用,全部启用,Włącz cały,
DLG_DisableAll,336,Disable All,모두 비활성,Désactiver tous,Alle deaktivieren,Deshabilitar todo,Disabilita tutto,Slå alt fra,両方を無効に,全部禁用,全部禁用,Wyłącz cały,
DLG_ImportMerge,337,Import Merge,합치면서 가져오기,Importer Fusion,Importieren Verschmelzen,Importar fusión,Importa Fusion,Importer Flette,インポート後併合,導入和合併,导入和合并,Importuj scalenie,
DLG_ImportReplace,338,Import Replace,교체하며 가져오기,Importer Remplacer,Importieren Ersetzen,Importar reemplazar,Importa Sostituisci,Importer Erstat,インポート後交換,導入和替換,导入和替换,Importuj zamień,
